query,reference_id
명품향수 추천 부탁드려요. 20만원 이하에서 가장 인기 있는 게 뭔가요?,PF-037
디올이랑 입생로랑 향수의 향 느낌 차이가 어떤지 궁금해요.,PF-038
명품 향수 브랜드 중에서 지속력 기준으로 순위를 매기면 어디가 좋은가요?,PF-039
향수 선물하려는데 취향을 모르니까 무난한 게 뭔지 모르겠어요.,PF-040
향수 선물하고 싶은데 취향 몰라도 무난한 거 있나요?,PF-041
누구한테 줘도 실패 없는 무난한 향수 선물 추천해주세요.,PF-042
향수는 너무 진한 거 같고 바디미스트 정도가 딱 좋은데 추천해주세요.,PF-043
바디미스트랑 향수 차이가 뭔가요? 지속력 차이 많이 나요?,PF-044
바디미스트 가성비 좋은 거 뭐 있나요? 2만원대에서 추천해주세요.,PF-045
백화점 향수 코너 가면 너무 많아서 뭐부터 봐야 할지 모르겠어요.,PF-046
백화점 향수 가격이랑 온라인 가격 차이 많이 나요?,PF-047
백화점 향수 사면 샘플이나 사은품 주는 데 있나요?,PF-048
백화점에서 향수 구매하면 사은품이나 포인트 혜택이 보통 어떻게 되나요?,PF-049
봄 되니까 향수 바꾸고 싶은데 봄에 어울리는 향수 뭐가 있나요?,PF-050
3~5월에 뿌리기 좋은 봄향수 추천해주세요. 가볍고 화사한 느낌이면 좋겠어요.,PF-051
벚꽃 시즌에 어울리는 플로럴 계열 향수 종류가 궁금해요.,PF-052
봄향수 후보로 피오니 계열이랑 체리블라썸 계열 고민인데 어떤 게 나아요?,PF-053
사무실에서 뿌려도 민폐 안 되는 향수 뭐가 있을까요? 은은한 걸 찾고 있어요.,PF-054
오피스에서 쓸 향수를 찾는데 확산력 적당하고 깔끔한 거 추천해주세요.,PF-055
사무실향수로 쓸 건데 머스크 계열이랑 그린 계열 중에 뭐가 덜 호불호 갈려요?,PF-056
친구 생일 선물로 향수 괜찮을까요? 취향 모르면 애매하려나요?,PF-057
여자친구 생일에 향수 선물하면 좋아할까요?,PF-058
생일선물용 향수 추천해주세요. 누구한테 줘도 무난한 걸로요.,PF-059
선물용 향수 뭐가 좋을까요? 호불호 없는 걸로 추천해주세요.,PF-060
선물용 향수 달달한 거랑 상쾌한 거 중에 뭐가 더 무난하나요?,PF-061
선물용 향수 포장 예쁘게 해주는 브랜드 있나요?,PF-062
향수 사면 맨날 후회하는데 실패 없는 향수 고르는 법이 뭐예요?,PF-063
향수 처음 사는데 실패 없는 거 뭔가요?,PF-064
실패없는 향수 추천 글 보면 다 다른 거 추천하던데 진짜 실패 없는 거 뭐예요?,PF-065
어머니 날에 향수 선물하면 좋아하실까요? 엄마가 향수를 안 써봐서 고민이에요.,PF-066
엄마한테 향수 선물하려는데 50대 여성분 뭐가 좋은가요?,PF-067
50대 엄마한테 선물할 향수 추천해주세요. 너무 젊은 향 말고요.,PF-068
여름에 향수 뿌리면 다 날아가는데 그래도 뿌릴만한 여름향수 있나요?,PF-069
시트러스 계열 여름향수 중에 남녀 공용으로 쓸 수 있는 거 뭐가 있어요?,PF-070
여름향수 고르는 중인데 플로럴 시트러스랑 아쿠아 계열 중에 뭐가 더 상쾌해요?,PF-071
여름에 시트러스 계열이랑 아쿠아 계열 중에 뭐가 더 오래 가나요?,PF-072
여성 향수 중에 은은하면서 오래가는 거 뭐 있나요?,PF-073
여성 향수 종류가 너무 많은데 어떤 기준으로 골라야 하나요?,PF-074
여성 향수 선물용으로 무난한 거 하나만 추천해주세요.,PF-075
여자친구 생일인데 향수 선물하면 좋아할까요? 안 써본 향이면 애매할까 걱정이에요.,PF-076
여자친구 향수 선물로 인기 있는 브랜드 어디예요?,PF-077
여자친구 선물로 향수 vs 화장품 고민인데 향수가 더 감동 있을까요?,PF-078
20대 후반 여자인데 데일리 향수 하나 갖고 싶어요.,PF-079
여자 향수 추천해주세요. 너무 무겁지 않은 걸로요.,PF-080
여자 향수 인기 브랜드 TOP5 알려주세요.,PF-081
여친한테 향수 선물하고 싶은데 향수에 대해 1도 모르겠어요 뭐부터 알아봐야 해요?,PF-082
여친한테 향수 선물하려는데 뭘 사야 할지 모르겠어요.,PF-083
여친 선물로 향수 사려는 남자인데 여자들이 좋아하는 향수 톱5가 뭐예요?,PF-084
나무 향 같은 차분한 향수가 끌리는데 우디향수가 그런 건가요?,PF-085
우디향수 종류가 엄청 많던데 샌달우드 vs 시더우드 vs 베티버 차이가 뭐예요?,PF-086
우디향수 중에 여자가 써도 괜찮은 거랑 남자 전용 느낌 나는 거 차이가 있나요?,PF-087
요즘 향수 뭐가 제일 인기에요? 트렌드 좀 알려주세요.,PF-088
올해 여자 향수 인기 순위 TOP10 알려주세요.,PF-089
인기 향수 순위에 항상 있는 스테디셀러는 뭔가요?,PF-090
향수 뿌려도 1시간이면 날아가서 짜증나요 오래 가는 향수 뭐 없나요?,PF-091
지속력 좋은 향수 알려주세요. 최소 6시간 이상 가는 게 있나요?,PF-092
지속력 좋다는 향수 여러 개 보고 있는데 진짜 오래 가는 순서대로 정리해줄 수 있어요?,PF-093
카카오선물하기로 향수 보내도 괜찮은 건가요? 가품 걱정 안 해도 되나요?,PF-094
카카오 선물하기로 향수 보낼 수 있나요?,PF-095
카카오선물하기에서 살 수 있는 향수 브랜드 어디 있나요요?,PF-096
커플이 같이 쓸 수 있는 향수 있나요?,PF-097
커플 향수 세트로 나온 거 있나요? 같은 브랜드 라인으로 찾고 있어요.,PF-098
기념일에 커플 향수 맞춰서 선물하려는데 추천해주세요.,PF-099
꽃향기 나는 향수가 갖고 싶은데 너무 아줌마 느낌 안 나는 게 있을까요?,PF-100
플로럴향수 추천해주세요. 장미향 말고 다른 꽃 종류도 궁금해요.,PF-101
플로럴 향수 중에 싱글노트랑 플로럴 부케 스타일 어떤 게 더 자연스러워요?,PF-102
향수 가격이 천차만별인데 비싼 게 진짜 더 좋은 건가요?,PF-103
향수 가격대별로 어떤 브랜드가 있는지 정리해주세요.,PF-104
5만원대에 괜찮은 향수 있나요? 너무 싸지 않으면서 좋은 걸 찾고 있어요.,PF-105
"살 결마다 향이 다르다는데, 내 '살 냄새'랑 제일 잘 어우러지는 향수 찾는 법이 있을까요?",PF-106
향수 레이어링 잘하는 조합 좀 알려주세요.,PF-107
향수 레이어링 세트로 나온 거 있나요?,PF-108
향수 브랜드가 너무 많은데 어디가 유명한 건가요?,PF-109
향수 브랜드별 특징 좀 정리해주세요. 명품 위주로 알려주시면 좋겠어요.,PF-110
명품 향수 브랜드마다 대표 라인이 있다고 하는데 브랜드별 시그니처 향이 뭔가요?,PF-111
가성비 좋은 향수 브랜드랑 명품 브랜드 차이가 얼마나 나요?,PF-112
향수 본품 사기 전에 샘플로 먼저 써보고 싶은데 어디서 구하나요?,PF-113
향수 샘플 용량 보통 얼마나 되나요? 며칠 정도 써볼 수 있나요?,PF-114
향수 샘플 세트 파는 곳 있나요? 여러 개 한번에 비교하고 싶어요.,PF-115
향수 샘플 키트나 디스커버리 세트 중에 구성 좋은 게 뭐가 있나요?,PF-116
향수 선물세트 사면 미니어처 여러 개 들어있는 거 맞죠? 취향 모를 때 좋을까요?,PF-117
향수 선물세트가 단품보다 구성이 좋은가요?,PF-118
가격대별로 향수 선물세트 중에 구성 좋은 거 추천해주세요.,PF-119
여자친구한테 향수 선물하고 싶은데 뭐가 좋을까요?,PF-120
향수 선물할 때 취향 모르면 어떤 향이 무난하나요?,PF-121
향수 선물 세트랑 단품 중에 뭐가 더 반응 좋은가요?,PF-122
향수 선물할 때 풀사이즈 하나가 나은가요 미니어처 세트가 나은가요?,PF-123
향수 사기 전에 시향 해보고 싶은데 어디서 해볼 수 있나요?,PF-124
너무 흔한 향수는 싫어요. 나만 알고 싶은 유니크한 향수 없나요?,PF-125
백화점 시향이랑 향수 샘플 주문이랑 뭐가 나은가요?,PF-126
향수 처음 써보려는데 뭐부터 시작해야 할지 모르겠어요.,PF-127
향수 입문으로 좋은 향수 추천해주세요. 무난하고 실패 없는 걸로요.,PF-128
향수 입문하려는데 오드뚜왈렛이랑 오드퍼퓸 차이가 뭐예요? 뭘로 시작해야 해요?,PF-129
향수 입문할 때 오 드 뚜왈렛이랑 오 드 퍼퓸 중에 뭐부터 시작하는 게 좋을까요?,PF-130
향수 지속력이 왜 이렇게 짧은 건지 모르겠어요 뭐가 문제인 거예요?,PF-131
향수 지속력 높이는 방법 알려주세요 바세린 바르면 진짜 오래 가나요?,PF-132
향수 지속력이 피부 타입에 따라 다르다고 하는데 건성이랑 지성 차이가 많이 나나요?,PF-133
같은 향수인데 사람마다 지속력 다른 이유가 뭐예요? 피부 타입 때문인가요?,PF-134
요즘 향수 하나 장만하고 싶은데 뭐가 좋을까요?,PF-135
입문자한테 좋은 향수 추천해주세요. 무난한 걸로 부탁드려요.,PF-136
계절별로 어울리는 향수 계열이 달라지나요? 봄여름 vs 가을겨울 기준으로 알려주세요.,PF-137
향수 추천 받았는데 10만원대에서 괜찮은 거 뭔가요?,PF-138
30대 초반 여자인데 사무실에서 뿌릴 향수 추천해주세요.,PF-139
여자 향수 플로럴이랑 우디 중에 뭐가 더 무난하나요?,PF-140
여자 향수 처음 사는데 50ml이랑 100ml 뭐가 나은가요?,PF-141
지나갈 때 은은하게 향기 나는 사람 되고 싶은데 확산력 좋은 향수 있나요?,PF-142
확산력 좋은 향수 추천해주세요. 잔향이 예쁘게 남는 걸로요.,PF-143
확산력 좋다는 향수 중에 은은한 타입이랑 강하게 퍼지는 타입 차이가 뭐예요?,PF-144
예산 10만원 정도로 여자한테 줄 수 있는 괜찮은 선물이 뭐가 있을까요?,GF-145
"10만원 전후로 살 수 있는 명품 화장품 선물 목록 좀 정리해주세요. 향수, 립, 세트 다 포함해서요.",GF-146
10만원대에서 살 수 있는 명품 화장품 선물 구성을 브랜드별로 비교해주세요.,GF-147
10만원으로 향수 하나 vs 립+핸드크림 세트 중에 뭐가 더 고급스러워 보이나요?,GF-148
15만원 정도면 어떤 선물이 격식 있어 보여요?,GF-149
15만원대 명품 선물 뭐가 있나요? 화장품 말고 다른 것도 알려주세요.,GF-150
15만원 선물 여자친구한테 뭘 사야 잘 샀다 소리 들을까요?,GF-151
20만원대로 명품 화장품 선물하면 확실히 고급스러워 보이나요?,GF-152
20만원대 명품 화장품 선물 세트 어떤 것들이 있어요?,GF-153
20만원대 명품 향수 단품 vs 화장품 세트 어느 쪽이 선물로 더 있어보여요?,GF-154
20만원대 명품 향수 단품이랑 화장품 세트 중에 어느 쪽이 선물로 더 있어보일까요?,GF-155
3만원으로 여자한테 괜찮은 선물 가능하나요?,GF-156
3만원대 여자 선물 화장품이면 뭐가 있나요?,GF-157
3만원 선물 여자 센스 있는 거 추천해주세요.,GF-158
5만원 정도 예산으로 여자한테 줄 만한 화장품 선물이 있을까요?,GF-159
5만원 이하로 살 수 있는 화장품 선물 추천해주세요. 핸드크림 세트나 미니 향수 위주로요.,GF-160
5만원대 뷰티 선물로 괜찮은 구성이 뭐가 있나요? 미니 향수나 핸드크림 세트 위주로요.,GF-161
5만원으로 미니 향수 세트 vs 핸드크림+립밤 세트 뭐가 더 받는 사람 입장에서 좋은가요?,GF-162
결혼기념일 선물 매년 뭘 줘야 할지 모르겠어요.,GF-163
결혼기념일 선물 와이프가 좋아할 만한 거 뭔가요?,GF-164
결혼기념일 선물로 향수랑 주얼리 중에 뭐가 더 반응이 좋은가요?,GF-165
결혼기념일 선물 20만원대면 뭐가 괜찮은가요?,GF-166
기념일마다 선물 뭘 줘야 할지 모르겠어요.,GF-167
기념일 선물 여자가 진짜 좋아하는 거 뭔가요?,GF-168
기념일 선물 여자 15만원대로 추천해주세요.,GF-169
럭셔리한 선물 해주고 싶은데 뭐가 좋은가요?,GF-170
여자한테 럭셔리 선물 화장품이랑 가방 중에 뭐가 나은가요?,GF-171
럭셔리 선물 여자 20만원대에서 뭐가 반응 좋은가요?,GF-172
명품 선물세트 보통 뭐가 들어있나요?,GF-173
명품 선물세트 브랜드별로 가격대 알려주세요.,GF-174
명품 선물세트 포장 예쁘고 구성 좋은 거 추천해주세요.,GF-175
명품 화장품 선물하면 확실히 반응이 다른가요?,GF-176
명품 화장품 선물 인기 제품 순위 알려주세요.,GF-177
명품 화장품 선물로 브랜드별 대표 제품이 뭐가 있나요?,GF-178
명품 화장품 선물로 립 제품이랑 스킨케어 중에 실패 확률이 낮은 건 뭔가요?,GF-179
명품 화장품이 로드샵보다 확실히 좋은가요?,GF-180
명품 화장품 브랜드별로 뭐가 유명한지 알려주세요.,GF-181
명품 화장품 입문으로 뭐 사면 좋을까요? 선물용으로도 괜찮은 걸로요.,GF-182
발렌타인데이에 남자가 여자한테 화장품 선물해도 괜찮은가요?,GF-183
발렌타인에 남자가 여자한테 화장품 선물해도 되나요?,GF-184
발렌타인데이 시즌에 화장품 브랜드들 특별 패키지 나오나 있으면 어떤 것들이 있나요?,GF-185
발렌타인 선물용 화장품 한정판이 따로 나오나요?,GF-186
백화점 화장품 선물하면 격식 있어 보여?,GF-187
백화점 화장품 선물할 때 포장 서비스도 해주나요?,GF-188
백화점 화장품 브랜드 중에 선물 포장이 가장 예쁜 곳이 어딘가요?,GF-189
백화점 화장품 선물 10만원대로 뭐가 좋은가요?,GF-190
여자 생일선물 뭐가 좋을까요? 사귄 지 3개월 정도 됐어요.,GF-191
생일선물 추천 좀 해주세요. 20대 여자 기준으로요.,GF-192
생일선물 10만원 예산이면 뭐가 제일 반응 좋은가요?,GF-193
선물세트가 단품보다 가성비 좋은가요?,GF-194
화장품 선물세트 브랜드별로 뭐가 인기인가요?,GF-195
선물세트 추천해주세요. 포장 예쁘고 구성 알찬 걸로요.,GF-196
여자 선물 뭐가 좋을까요? 센스 있다는 소리 듣고 싶어요.,GF-197
여자 선물 나이대별로 뭐가 반응 좋은가요?,GF-198
여자 선물 연령대별로 반응 좋은 화장품 카테고리가 다른가요?,GF-199
여자 선물 화장품이랑 향수 중에 뭐가 더 무난하나요?,GF-200
화장품 선물 포장 직접 해야 하나요?,GF-201
화장품 선물 포장 예쁘게 해주는 브랜드 어디인가요?,GF-202
선물 포장 서비스 있는 화장품 브랜드 추천해주세요.,GF-203
시어머니 생신에 현금 대신 화장품을 사드리려는데 취향을 몰라서 고민이에요. 무난한 제품이 뭐가 있나요?,GF-204
시어머니 선물로 화장품 드려도 괜찮은가요?,GF-205
시어머니 선물로 화장품을 드리려면 어떤 제품이 좋을까요? 60대 초반이시고 피부 관리 좋아하세요.,GF-206
시어머니 선물로 화장품 살 때 백화점에서 직접 사는 게 나은가요 온라인이 나은가요?,GF-207
어버이날 선물 뭐가 좋을까요? 현금 말고 정성 있는 걸로 드리고 싶어요.,GF-208
어버이날 선물 인기 순위 알려주세요.,GF-209
어버이날 화장품 선물할 때 50대 이상 분들이 실제로 잘 쓰시는 제품이 뭔가요?,GF-210
어버이날 선물 5만원대에서 괜찮은 거 뭔가요?,GF-211
어버이날에 엄마한테 화장품을 사드리려는데 50대 엄마가 좋아할 만한 제품이 뭐가 있을까요?,GF-212
어버이날에 엄마한테 화장품 선물하면 좋아할까?,GF-213
어버이날 화장품 선물로 뭐가 적당해 50대 60대 어머니한테 인기 있는 브랜드가 궁금하나요?,GF-214
어버이날 화장품 선물세트 중에 포장까지 예쁜 걸 추천해주세요.,GF-215
엄마 생일선물 뭐가 좋을까요? 50대 초반이에요.,GF-216
엄마 생일선물로 화장품 괜찮은가요? 아니면 다른 게 나은가요?,GF-217
엄마 생일선물로 화장품이랑 건강식품 중에 뭐가 더 만족도가 높을까요?,GF-218
엄마 생일선물 10만원대에서 격식 있는 거 추천해주세요.,GF-219
여사친 생일인데 너무 비싸면 부담스럽고 너무 싸면 성의없어 보이는데 적당한 선물이 뭐가 있을까요?,GF-220
여사친 선물로 화장품 줄 때 핸드크림이나 바디 쪽이 부담 없다던데 추천 좀 해주세요.,GF-221
여사친한테 화장품 선물할 때 부담스럽지 않은 가격대랑 종류가 뭔가요?,GF-222
여사친 선물로 향수 미니어처 세트랑 핸드크림 세트 중에 뭐가 더 반응 좋을까요? 가격은 5만원 정도예요.,GF-223
여자 생일선물 화장품이 무난한 거 맞나요?,GF-224
여자 생일선물 연령대별로 뭐가 좋은가요?,GF-225
여자 생일선물 포장까지 예쁜 거 추천해주세요.,GF-226
여자친구 생일 다가오는데 매번 옷이나 가방만 사줬거든 올해는 뭔가 다른 걸 주고 싶은데 뭐가 좋을까요?,GF-227
여자친구 생일선물로 화장품을 주려는데 실제로 받으면 좋아하는 브랜드가 어딘가요?,GF-228
여자친구 생일선물로 화장품을 주려면 어떤 카테고리가 가장 반응이 좋은가요?,GF-229
여자친구 생일에 명품 향수 vs 백화점 립 세트 중에 고민인데 가격대 비슷하면 뭐가 더 반응 좋은가요?,GF-230
여자친구 선물로 향수 단품이랑 화장품 세트 중에 뭐가 더 가성비가 좋은가요?,GF-231
여자 졸업선물 뭐가 좋을까요? 대학 졸업이에요.,GF-232
졸업선물로 화장품 주면 좋아할까?,GF-233
졸업선물 여자 5만원대에서 센스 있는 거 추천해주세요.,GF-234
상대방 취향을 전혀 모르는데 화장품 선물해도 괜찮을까요? 안 쓰는 제품을 주면 낭비일 것 같아서요.,GF-235
상대방 취향 모를 때 선물 뭘 사야 하나요?,GF-236
취향을 몰라도 실패하지 않는 화장품 선물이 뭐가 있나요? 틴트나 쿠션은 색상 때문에 위험하다고 들었어요.,GF-237
취향 모를 때 가장 안전한 화장품 선물 금액대가 어느 정도인가요?,GF-238
직접 만나서 선물 주기 어려운데 카톡 선물하기로 화장품 보내도 괜찮은 건지 성의없어 보일까요?,GF-239
카카오 선물하기로 화장품 보내면 괜찮은가요?,GF-240
"카카오 선물하기에서 인기 있는 화장품 카테고리가 뭔가요? 향수, 립, 핸드크림 중에서요.",GF-241
카카오 선물하기에서 화장품이랑 향수 중에 뭐가 더 인기가 많은가요?,GF-242
카카오 선물하기 화장품 종류 많아?,GF-243
카카오 선물하기 화장품 백화점이랑 가격 같은가요?,GF-244
카카오 선물하기로 명품 화장품 보내려는데 추천해주세요.,GF-245
크리스마스에 여자한테 줄 선물 뭐가 좋을까요? 화장품이 무난한지 아니면 다른 게 나은지 고민이에요.,GF-246
크리스마스 시즌 한정판 화장품 세트 나오는 브랜드가 어디 있나요? 예쁜 패키지 위주로 알려주세요.,GF-247
크리스마스 시즌에 나오는 홀리데이 에디션이랑 일반 제품 중에 뭐가 더 특별하게 느껴지나요?,GF-248
크리스마스 선물로 명품 화장품 세트와 향수 단품 중에 뭐가 더 있어보일까요? 가격은 비슷하게 맞출 거예요.,GF-249
크리스마스 선물용 화장품을 일찍 사두면 할인 받을 수 있는 채널이 있나요?,GF-250
화장품 선물하려는데 향수랑 립스틱 중에 뭐가 더 안전한 선택인가요?,GF-251
선물로 향수랑 립스틱 중에 뭐가 더 반응 좋은가요?,GF-252
"향수 선물이랑 립스틱 선물 각각 장단점이 뭔가요, 여자들이 실제로 더 좋아하는 쪽이 있나요?",GF-253
10만원 예산이면 향수 하나가 나은가요 립스틱 세트가 나은가요?,GF-254
화장품 선물하고 싶은데 상대방 취향을 잘 몰라서 호불호 안 갈리는 제품이 뭐가 있을까요?,GF-255
호불호 없는 화장품 선물 하면 보통 뭘 말하는 거야 향수 핸드크림 바디로션 중에 어떤 게 제일 무난하나요?,GF-256
화장품 선물 중에 호불호가 가장 적다고 알려진 카테고리가 뭔가요?,GF-257
호불호 없는 선물로 향수 vs 핸드크림 세트 중에 뭐가 더 무난해 향수도 호불호 있지 않아?,GF-258
연말에 홀리데이 한정판 뷰티 세트가 많이 나오는데 일반 제품보다 선물로 더 좋은가요?,GF-259
홀리데이 한정판 뷰티 세트 매년 나와?,GF-260
올해 홀리데이 뷰티 세트 출시 일정이 언제부터인가요? 인기 있는 건 금방 품절된다고 들었어요.,GF-261
홀리데이 뷰티 세트 브랜드별로 뭐가 인기인가요?,GF-262
홀리데이 한정판 세트와 연중 판매 제품 중에 선물로 받으면 뭐가 더 특별하게 느껴지나요?,GF-263
홀리데이 뷰티 세트 언제 사야 안 품절되나요?,GF-264
홀리데이 한정판 뷰티 세트는 보통 몇 월부터 나오나요? 미리 예약할 수 있는가요?,GF-265
화이트데이 사탕 말고 뭐 줘야 하나요? 요즘 트렌드가 뭔가요?,GF-266
화이트데이 선물 여자친구 취향 모를 때 뭐가 무난하나요?,GF-267
화이트데이 선물 5만원~10만원 사이로 추천해주세요.,GF-268
화장품 브랜드가 너무 많은데 어디가 좋은가요?,GF-269
20대한테 인기 있는 화장품 브랜드 알려주세요.,GF-270
화장품 브랜드 추천해주세요. 선물용으로 무난한 곳이요.,GF-271
남자가 화장품 선물할 때 뭘 사야 안 틀려?,GF-272
남자가 여자한테 화장품 선물할 때 주의할 점 있나요?,GF-273
남자가 매장에서 사기 편한 화장품 선물 추천해주세요.,GF-274
화장품 선물 뭐가 좋은가요? 남자라 화장품을 전혀 몰라서 고민이에요.,GF-275
화장품 선물 뭐가 좋을까요? 남자가 사주려고 하는데 추천해주세요.,GF-276
화장품 선물 카테고리별로 정리 좀 해주세요 기초 색조 향수 바디 중에 선물로 적합한 게 뭔가요?,GF-277
화장품 선물 요즘 트렌드가 뭔가요?,GF-278
화장품 선물 기초 세트 vs 향수 vs 립 세트 중에 선물 만족도 가장 높은 게 뭔가요?,GF-279
화장품 선물 무난하면서 센스 있는 거 추천해주세요.,GF-280
화장품 선물 살 때 매장 직원한테 어떻게 말하면 추천을 잘 받을 수 있나요?,GF-281
화장품 선물하려는데 뭘 사야 할지 모르겠어요. 무난한 거 추천해주세요.,GF-282
화장품 선물 브랜드별 인기 제품 알려주세요.,GF-283
화장품 선물할 때 백화점 구매랑 카카오 선물하기 중에 뭐가 더 편한가요?,GF-284
화장품 선물 세트랑 단품 중에 뭐가 더 반응 좋은가요?,GF-285
화장품 세트 선물이 단품보다 나은가요?,GF-286
화장품 세트 선물 구성 좋은 브랜드 알려주세요.,GF-287
화장품 세트 선물 10만원대 괜찮은 거 추천해주세요.,GF-288
20대 쿠션 올리브영 인기 제품 vs 백화점 입문 제품 뭐가 나을까요?,CS-289
30대 피부 모공이 눈에 띄기 시작하는데 모공 안 부각되는 쿠션 특징이 뭔가요?,CS-290
여쿨 톤에 어울리는 쿠션 추천해주세요.,CS-291
40대 피부에 맞는 쿠션 어떤 타입이 좋은가요?,CS-292
겨쿨 톤에 어울리는 쿠션 추천해주세요.,CS-293
40대 쿠션 추천해주세요. 자연스러운 커버감 있는 걸로요.,CS-294
50대인데 쿠션 바르면 주름이 더 부각되는 것 같은데 어떤 제품이 좋은가요?,CS-295
50대 피부에 맞는 쿠션은 어떤 타입이 좋은가요? 글로우가 나은지 새틴이 나은지 궁금해요.,CS-296
50대 쿠션 추천해주세요. 자연스러우면서 피부 결점 커버가 되는 걸로요.,CS-297
건성 피부 쿠션 고를 때 성분 중에 꼭 들어가야 하는 보습 성분 뭐예요?,CS-298
건성인데 글로우 쿠션 중에 촉촉한 거 뭐가 있나요? 3만원대와 6만원대 차이가 있을까요?,CS-299
여름뮤트 톤에 어울리는 쿠션 추천해주세요.,CS-300
겨울 쿠션 건성용으로 좋은 거 알려주세요.,CS-301
겨울 쿠션 글로우 타입이랑 새틴 타입 중에 뭐가 나은가요?,CS-302
봄웜 톤에 어울리는 쿠션 추천해주세요.,CS-303
글로우 쿠션 중에 번들거리지 않는 거 있나요?,CS-304
글로우 쿠션 추천해주세요. 물광 느낌 나는 걸로요.,CS-305
럭셔리 쿠션 브랜드별 특징 알려주세요.,CS-306
가을웜 톤에 어울리는 쿠션 추천해주세요.,CS-307
매트 쿠션 정품 가격대별로 비교하면 3만원대 vs 6만원대 체감 차이 있어요?,CS-308
명품 쿠션 브랜드별 특징 정리해놓은 곳 있나요? 피부타입별로 알고 싶어요.,CS-309
명품 쿠션 중에 선물용으로 무난하면서 패키지 예쁜 거 추천해주세요.,CS-310
가을뮤트 톤에 어울리는 쿠션 추천해주세요.,CS-311
무너짐 없는 쿠션 화해 랭킹 1위 vs 더쿠 입소문 제품 뭐가 진짜예요?,CS-312
민감성 피부에 좋은 쿠션 성분 어떤 거 봐야 하나요?,CS-313
민감성 피부용 쿠션 추천해주세요. 트러블 안 나는 걸로요.,CS-314
여쿨 톤에 어울리는 쿠션 호수 추천해주세요.,CS-315
복합성한테 맞는 쿠션 올리브영 vs 백화점 제품 차이 큰가요?,CS-316
겨쿨 톤에 어울리는 쿠션 호수 추천해주세요.,CS-317
수부지한테 세미매트 vs 글로우 쿠션 중에 뭐가 맞아요? 써본 분?,CS-318
