query,reference_id
기념일커플향수선물,PF-KW-099
꽃향기향수세련된,PF-KW-100
플로럴향수장미아닌,PF-KW-101
플로럴향수싱글노트부케비교,PF-KW-102
비싼향수차이,PF-KW-103
향수가격대별브랜드,PF-KW-104
5만원대향수,PF-KW-105
살냄새와어울리는향수,PF-KW-106
향수레이어링조합,PF-KW-107
향수레이어링세트,PF-KW-108
유명향수브랜드,PF-KW-109
명품향수브랜드특징,PF-KW-110
명품향수브랜드시그니처,PF-KW-111
가성비명품향수브랜드차이,PF-KW-112
향수샘플구하는곳,PF-KW-113
향수샘플용량,PF-KW-114
향수샘플세트판매,PF-KW-115
향수디스커버리세트,PF-KW-116
향수선물세트미니어처,PF-KW-117
향수선물세트단품비교,PF-KW-118
가격대별향수선물세트,PF-KW-119
여자친구향수선물추천,PF-KW-120
향수선물무난한향,PF-KW-121
향수선물세트단품반응,PF-KW-122
향수선물풀사이즈미니어처비교,PF-KW-123
향수시향하는곳,PF-KW-124
유니크한향수,PF-KW-125
백화점시향향수샘플비교,PF-KW-126
향수입문시작,PF-KW-127
향수입문실패없는,PF-KW-128
오드뚜왈렛오드퍼퓸차이,PF-KW-129
향수입문EDTEDP선택,PF-KW-130
향수지속력짧은이유,PF-KW-131
향수지속력높이는법바세린,PF-KW-132
향수지속력건성지성,PF-KW-133
향수지속력사람마다다른이유,PF-KW-134
요즘향수추천,PF-KW-135
입문자향수추천,PF-KW-136
계절별향수계열,PF-KW-137
10만원대향수추천,PF-KW-138
30대초반사무실향수,PF-KW-139
여자플로럴우디향수비교,PF-KW-140
여자향수50ml100ml비교,PF-KW-141
지나갈때향기나는향수,PF-KW-142
확산력좋은잔향예쁜향수,PF-KW-143
확산력향수은은한강한비교,PF-KW-144
